"N","scenario_group","Median GO (%)","Median EVALUATE (%)","Median NO-GO (%)","Mean GO (%)","Mean EVALUATE (%)","Mean NO-GO (%)","n_scenarios"
10,"Favorable",4.2,77.2,17.9,6,77.2,16.8,12
15,"Favorable",14.6,69.4,15.1,16.7,68.2,15.1,12
20,"Favorable",13.7,73,12.2,19.6,68.9,11.5,12
25,"Favorable",16.2,67.7,10.6,21.3,66.4,12.3,12
30,"Favorable",13.6,73.2,8.5,19.5,70.5,9.9,12
10,"Unfavorable",0.3,51.8,47.9,0.6,50.9,48.5,36
15,"Unfavorable",0.9,40.4,58.5,1.8,42.1,56.1,36
20,"Unfavorable",0.7,41.5,57.2,1.5,43.4,55,36
25,"Unfavorable",0.6,37.4,61.7,1.3,39.8,59,36
30,"Unfavorable",0.3,39.2,60.4,0.8,41.4,57.9,36
