"N","Scenario","True ORR","True chronic toxicity","True durability success","GO (%)","EVALUATE (%)","NO-GO (%)","Dominant decision","Dominant probability (%)"
10,"Favorable","30%","10%","80%",4.2,78,17.9,"EVALUATE",78
10,"Favorable","30%","10%","90%",8.1,76.6,15.2,"EVALUATE",76.6
10,"Favorable","30%","20%","80%",2.1,77.5,20.4,"EVALUATE",77.5
10,"Favorable","30%","20%","90%",4.2,78,17.9,"EVALUATE",78
10,"Favorable","30%","30%","80%",0.8,69.1,30.1,"EVALUATE",69.1
10,"Favorable","30%","30%","90%",1.7,70.5,27.8,"EVALUATE",70.5
10,"Favorable","40%","10%","80%",10.1,81.9,7.9,"EVALUATE",81.9
10,"Favorable","40%","10%","90%",19.9,75.2,4.9,"EVALUATE",75.2
10,"Favorable","40%","20%","80%",5.2,84,10.8,"EVALUATE",84
10,"Favorable","40%","20%","90%",10.1,81.9,7.9,"EVALUATE",81.9
10,"Favorable","40%","30%","80%",2.1,76.3,21.6,"EVALUATE",76.3
10,"Favorable","40%","30%","90%",4,76.9,19.1,"EVALUATE",76.9
10,"Unfavorable","20%","10%","60%",0.1,39.3,60.5,"NO-GO",60.5
10,"Unfavorable","20%","10%","80%",0.9,59.4,39.7,"EVALUATE",59.4
10,"Unfavorable","20%","10%","90%",1.8,60.4,37.8,"EVALUATE",60.4
10,"Unfavorable","20%","20%","60%",0.1,38.2,61.8,"NO-GO",61.8
10,"Unfavorable","20%","20%","80%",0.5,57.9,41.6,"EVALUATE",57.9
10,"Unfavorable","20%","20%","90%",0.9,59.4,39.7,"EVALUATE",59.4
10,"Unfavorable","20%","30%","60%",0,33.6,66.4,"NO-GO",66.4
10,"Unfavorable","20%","30%","80%",0.2,51.1,48.7,"EVALUATE",51.1
10,"Unfavorable","20%","30%","90%",0.4,52.6,47,"EVALUATE",52.6
10,"Unfavorable","20%","40%","60%",0,25,75,"NO-GO",75
10,"Unfavorable","20%","40%","80%",0.1,38.2,61.8,"NO-GO",61.8
10,"Unfavorable","20%","40%","90%",0.1,39.3,60.5,"NO-GO",60.5
10,"Unfavorable","25%","10%","60%",0.3,47.5,52.2,"NO-GO",52.2
10,"Unfavorable","25%","10%","80%",2.2,70.8,27,"EVALUATE",70.8
10,"Unfavorable","25%","10%","90%",4.2,71.1,24.6,"EVALUATE",71.1
10,"Unfavorable","25%","20%","60%",0.1,46.2,53.7,"NO-GO",53.7
10,"Unfavorable","25%","20%","80%",1.1,69.6,29.3,"EVALUATE",69.6
10,"Unfavorable","25%","20%","90%",2.2,70.8,27,"EVALUATE",70.8
10,"Unfavorable","25%","30%","60%",0.1,40.6,59.3,"NO-GO",59.3
10,"Unfavorable","25%","30%","80%",0.4,61.7,37.9,"EVALUATE",61.7
10,"Unfavorable","25%","30%","90%",0.9,63.3,35.9,"EVALUATE",63.3
10,"Unfavorable","25%","40%","60%",0,30.3,69.7,"NO-GO",69.7
10,"Unfavorable","25%","40%","80%",0.1,46.2,53.7,"NO-GO",53.7
10,"Unfavorable","25%","40%","90%",0.3,47.5,52.2,"NO-GO",52.2
10,"Unfavorable","30%","10%","60%",0.5,53.3,46.2,"EVALUATE",53.3
10,"Unfavorable","30%","20%","60%",0.3,51.8,47.9,"EVALUATE",51.8
10,"Unfavorable","30%","30%","60%",0.1,45.7,54.2,"NO-GO",54.2
10,"Unfavorable","30%","40%","60%",0,34.1,65.9,"NO-GO",65.9
10,"Unfavorable","30%","40%","80%",0.3,51.8,47.9,"EVALUATE",51.8
10,"Unfavorable","30%","40%","90%",0.5,53.3,46.2,"EVALUATE",53.3
10,"Unfavorable","40%","10%","60%",1.3,59,39.7,"EVALUATE",59
10,"Unfavorable","40%","20%","60%",0.6,57.8,41.6,"EVALUATE",57.8
10,"Unfavorable","40%","30%","60%",0.3,51,48.7,"EVALUATE",51
10,"Unfavorable","40%","40%","60%",0.1,38.1,61.8,"NO-GO",61.8
10,"Unfavorable","40%","40%","80%",0.6,57.8,41.6,"EVALUATE",57.8
10,"Unfavorable","40%","40%","90%",1.3,59,39.7,"EVALUATE",59
15,"Favorable","30%","10%","80%",10.5,71.5,18,"EVALUATE",71.5
15,"Favorable","30%","10%","90%",21.5,65.6,12.9,"EVALUATE",65.6
15,"Favorable","30%","20%","80%",7.2,73.3,19.5,"EVALUATE",73.3
